# GGQ rule 06: bm in [2^-30, 2^-25]
# 80 nodes on [0, 1]
# Columns: x_i  w_i
 2.03552966825683964E-07   5.20451780864564547E-07
 1.05583185434912819E-06   1.17410227934148389E-06
 2.52403761807217036E-06   1.74530931841240675E-06
 4.50797711759987951E-06   2.20172356907933255E-06
 6.88456357647961559E-06   2.53005285236827700E-06
 9.52737234348433660E-06   2.73683663859379542E-06
 1.23254494390675103E-05   2.84558743184180056E-06
 1.51969279961664441E-05   2.88949936101877972E-06
 1.80942631068938937E-05   2.90265056896030413E-06
 2.10015449959108250E-05   2.91345780198908657E-06
 2.39271707445988455E-05   2.94196878596743499E-06
 2.68954692207478098E-05   3.00023637622109202E-06
 2.99395973459921412E-05   3.09423918919954923E-06
 3.30965919925852250E-05   3.22611104784500882E-06
 3.64044943682019734E-05   3.39598449481709123E-06
 3.99010199071317458E-05   3.60323550846632946E-06
 4.36232076811432032E-05   3.84722804501679769E-06
 4.76076428550184651E-05   4.12774343600576904E-06
 5.18910040836670407E-05   4.44521187970421707E-06
 5.65107594102011519E-05   4.80078083392562075E-06
 6.15058624368325358E-05   5.19625902174903295E-06
 6.69173743428805155E-05   5.63404936678877519E-06
 7.27890823462814293E-05   6.11723768574233615E-06
 7.91683522294036555E-05   6.64999556790010081E-06
 8.61075919766970531E-05   7.23841516657737511E-06
 9.36667914599409142E-05   7.89182556616897987E-06
 1.01917585953019795E-04   8.62448927466070605E-06
 1.10949087386565985E-04   9.45738333571464813E-06
 1.20875429870591946E-04   1.04198462071004371E-05
 1.31845029804434239E-04   1.15515046662273124E-05
 1.44052407147857999E-04   1.29057245881062762E-05
 1.57754868328722261E-04   1.45561316164190973E-05
 1.73297858467839802E-04   1.66077065477427661E-05
 1.91154645869757517E-04   1.92149703273665275E-05
 2.11989953920134418E-04   2.26130659036799761E-05
 2.36765579139608043E-04   2.71730997327666641E-05
 2.66920939959061621E-04   3.35005608496169327E-05
 3.04685632519134794E-04   4.26075752161803723E-05
 3.53623473503195433E-04   5.62172587444581922E-05
 4.19595426146559809E-04   7.73281899990717895E-05
 5.12528829123854910E-04   1.11334426046650841E-04
 6.49841879018427343E-04   1.68380347605201144E-04
 8.63422000488211442E-04   2.68477159459033202E-04
 1.21433558990994032E-03   4.52563329823123901E-04
 1.82365213578222795E-03   8.04528605066798632E-04
 2.93147950328431555E-03   1.48405343840263509E-03
 4.98241020639281912E-03   2.73561939981602784E-03
 8.67222367677429780E-03   4.78807325696673208E-03
 1.48364646390998205E-02   7.66517125047072416E-03
 2.42061714131044173E-02   1.11510747334393982E-02
 3.72450914689506432E-02   1.49590358686619487E-02
 5.41558269535485151E-02   1.88645265648233681E-02
 7.49576997956549196E-02   2.27224066560768601E-02
 9.95536786879547969E-02   2.64403312551893463E-02
 1.27770498556848605E-01   2.99551681295147747E-02
 1.59380470523480838E-01   3.32196698426712247E-02
 1.94113686021168214E-01   3.61959172668413071E-02
 2.31665612164080909E-01   3.88522446380827405E-02
 2.71702548425931778E-01   4.11618307562212626E-02
 3.13866116069352052E-01   4.31020756837500602E-02
 3.57777332212070864E-01   4.46543471016246016E-02
 4.03040526953006961E-01   4.58038976722198662E-02
 4.49247220194639085E-01   4.65398558565001397E-02
 4.95980004141932385E-01   4.68552406408791755E-02
 5.42816441022836771E-01   4.67469741467714389E-02
 5.89332966175509787E-01   4.62158780546302259E-02
 6.35108776072258130E-01   4.52666461201296083E-02
 6.79729675058914462E-01   4.39077885959709216E-02
 7.22791851529990703E-01   4.21515464575523968E-02
 7.63905552860596693E-01   4.00137746425612631E-02
 8.02698628095812494E-01   3.75137944019338018E-02
 8.38819907834708722E-01   3.46742155084778722E-02
 8.71942391759093494E-01   3.15207295879096974E-02
 9.01766215758410095E-01   2.80818763111317232E-02
 9.28021372609282524E-01   2.43887847615689053E-02
 9.50470162972601673E-01   2.04748934619474535E-02
 9.68909358550379074E-01   1.63756567345138063E-02
 9.83172075118632138E-01   1.21282684308912127E-02
 9.93129450163554472E-01   7.77164357260564341E-03
 9.98693562239090227E-01   3.35125763066734892E-03
