# GGQ rule 05: bm in [2^-25, 2^-20]
# 80 nodes on [0, 1]
# Columns: x_i  w_i
 1.80434432460021150E-07   9.70896165105136327E-07
 2.99898836927592104E-06   4.65584324267359566E-06
 9.39003768415803326E-06   8.05575283549511546E-06
 1.89391359115429583E-05   1.09440024911345321E-05
 3.10641710414195389E-05   1.31938247446017455E-05
 4.51018272036578536E-05   1.47721862621409346E-05
 6.04058197392887323E-05   1.57450915478127630E-05
 7.64379402068732808E-05   1.62569858512146805E-05
 9.28263230745369670E-05   1.64881003610555955E-05
 1.09378097568627747E-04   1.66097686452551850E-05
 1.26054736763941288E-04   1.67565543254316090E-05
 1.42930278543542332E-04   1.70193096035996926E-05
 1.60150266566328842E-04   1.74519562355888832E-05
 1.77900489424566752E-04   1.80830162613757869E-05
 1.96387057142706245E-04   1.89261024811273556E-05
 2.15825321982103036E-04   1.99869311473798922E-05
 2.36433947907967699E-04   2.12667375565886620E-05
 2.58431149380723387E-04   2.27635240762474348E-05
 2.82031947320756802E-04   2.44731656063713093E-05
 3.07447083884506680E-04   2.63917418999588308E-05
 3.34884941392627562E-04   2.85191041935949912E-05
 3.64557224928425819E-04   3.08626083910909819E-05
 3.96687891564878083E-04   3.34396769341822889E-05
 4.31523715649287886E-04   3.62784983154042066E-05
 4.69344890084868126E-04   3.94176915022711398E-05
 5.10475749215330869E-04   4.29073643675803864E-05
 5.55298327535139278E-04   4.68139995401520092E-05
 6.04272937847529661E-04   5.12294212617481006E-05
 6.57969052109999802E-04   5.62821352446593649E-05
 7.17108384554689137E-04   6.21506216592163931E-05
 7.82623544309061885E-04   6.90820927727222981E-05
 8.55740811632159826E-04   7.74231529390830361E-05
 9.38102535112680090E-04   8.76697176529706365E-05
 1.03195327377911348E-03   1.00547064520104399E-04
 1.14042961169065742E-03   1.17142234235220342E-04
 1.26802480861844171E-03   1.39130034741032402E-04
 1.42135224643089551E-03   1.69157731283264704E-04
 1.61041151061133573E-03   2.11485302970364805E-04
 1.85068244808222278E-03   2.73033189570076216E-04
 2.16657127494724201E-03   3.65093726157773488E-04
 2.59707121621102635E-03   5.06139227909373733E-04
 3.20503800407463115E-03   7.26357558114599958E-04
 4.09209025693187903E-03   1.07437073363577588E-03
 5.42089310148922282E-03   1.62470205290799049E-03
 7.44249863085148615E-03   2.47829157648804359E-03
 1.05133416109228096E-02   3.73731849738398198E-03
 1.50651420221941876E-02   5.43467216769854145E-03
 2.14886608785882748E-02   7.44436343158851044E-03
 2.99760682522159927E-02   9.53136821070491198E-03
 4.06021288127925220E-02   1.17955899250443835E-02
 5.38186559858136043E-02   1.47839138097842770E-02
 7.03993090460396653E-02   1.84438161605009303E-02
 9.07544940977166731E-02   2.22605888740797161E-02
 1.14877814848395168E-01   2.59550992456925034E-02
 1.42592350898327946E-01   2.94338740900288547E-02
 1.73659328754983217E-01   3.26542217103382298E-02
 2.07804074985139559E-01   3.55845256234964755E-02
 2.44722428357521810E-01   3.81970763585776918E-02
 2.84084074726767388E-01   4.04672766944608395E-02
 3.25535712146189038E-01   4.23737834179906403E-02
 3.68704405626463116E-01   4.38987023716329444E-02
 4.13201113806144937E-01   4.50277355527908471E-02
 4.58624340338012082E-01   4.57502853632841544E-02
 5.04563872090421528E-01   4.60595249940731963E-02
 5.50604572458901598E-01   4.59524385149370010E-02
 5.96330199876692446E-01   4.54298311268189897E-02
 6.41327221420508131E-01   4.44963089762686753E-02
 6.85188590724886359E-01   4.31602278683225829E-02
 7.27517458899101577E-01   4.14336105371800323E-02
 7.67930787014940885E-01   3.93320325709154428E-02
 8.06062829053804886E-01   3.68744775315878182E-02
 8.41568454955715306E-01   3.40831622329292802E-02
 8.74126284575188373E-01   3.09833335358884535E-02
 9.03441604909723472E-01   2.76030384304589080E-02
 9.29249044982061179E-01   2.39728697072661250E-02
 9.51314985534353341E-01   2.01256906572860050E-02
 9.69439685693991415E-01   1.60963463480983497E-02
 9.83459124377113914E-01   1.19213919846346255E-02
 9.93246649551993710E-01   7.63907479135942508E-03
 9.98715847974897430E-01   3.29409067824819107E-03
