# GGQ rule 04: bm in [2^-20, 2^-15]
# 80 nodes on [0, 1]
# Columns: x_i  w_i
 4.84321377343433112E-07   4.59549009479877509E-06
 1.53774122696897837E-05   2.47656452657046017E-05
 4.94272265813267529E-05   4.29804231254307079E-05
 1.00482003957799249E-04   5.86365047505567121E-05
 1.65625011413395891E-04   7.10817084514542047E-05
 2.41496737340725240E-04   8.00969461113329955E-05
 3.24754344273143157E-04   8.59321389890342337E-05
 4.12513564723079483E-04   8.92324092879621396E-05
 5.02662125838703139E-04   9.08616663690472049E-05
 5.93973067862906619E-04   9.16942098424597808E-05
 6.86030537733758362E-04   9.24594215970273665E-05
 7.79044833683343392E-04   9.36765431278190210E-05
 8.73641942274816096E-04   9.56634548899434032E-05
 9.70684055514843135E-04   9.85841414945743885E-05
 1.07114478139575539E-03   1.02507187757670996E-04
 1.17604178894109655E-03   1.07460435144564497E-04
 1.28641849324426412E-03   1.13473083254114109E-04
 1.40335828664124519E-03   1.20597489040899991E-04
 1.52800835031169087E-03   1.28906526527357008E-04
 1.66159066985722514E-03   1.38472728140438161E-04
 1.80538981449183500E-03   1.49345855269072362E-04
 1.96072473586878350E-03   1.61545416664538456E-04
 2.12892345960014311E-03   1.75073742212072437E-04
 2.31131886253212746E-03   1.89943395011972846E-04
 2.50927463295947751E-03   2.06208571362754162E-04
 2.72424178201050807E-03   2.23994327719585041E-04
 2.95784290428431585E-03   2.43522996273331198E-04
 3.21198185120335263E-03   2.65138753969749476E-04
 3.48897766933191356E-03   2.89332093876229490E-04
 3.79172500423132679E-03   3.16769585982566726E-04
 4.12389089801255999E-03   3.48338918425802327E-04
 4.49017012258693705E-03   3.85223862951121661E-04
 4.89663907133588115E-03   4.29030659867997704E-04
 5.35127332731771127E-03   4.81994075783188393E-04
 5.86472453709828596E-03   5.47295984241860482E-04
 6.45149003361123515E-03   6.29541891312097759E-04
 7.13166811222988757E-03   7.35471585026668730E-04
 7.93358467480400828E-03   8.75009125648677061E-04
 8.89767523578761238E-03   1.06272866079227548E-03
 1.00820259282500060E-02   1.31968146819074427E-03
 1.15698214279491719E-02   1.67531887503780553E-03
 1.34785604690942726E-02   2.16899418360687194E-03
 1.59702223536109661E-02   2.85018111090087640E-03
 1.92604616612530380E-02   3.77603534315877794E-03
 2.36232871022402438E-02   5.00449845371571216E-03
 2.93860299421324564E-02   6.58171728852753948E-03
 3.69092913420845242E-02   8.52510762402860015E-03
 4.65495784280146804E-02   1.08065248751062146E-02
 5.86066235269246810E-02   1.33382346014610451E-02
 7.32545664150370535E-02   1.59509178375173942E-02
 9.04317945277244434E-02   1.83229932412980814E-02
 1.09616414215113880E-01   1.98368863860011839E-02
 1.29687708949061981E-01   2.02383760700012259E-02
 1.50671458205676706E-01   2.22981752946365200E-02
 1.75134664982103561E-01   2.67439114400401003E-02
 2.03992785378877578E-01   3.08185370004797655E-02
 2.36496440329262120E-01   3.40761790504780018E-02
 2.71958622538708339E-01   3.67684947033859802E-02
 3.09888573233554787E-01   3.90235573770976035E-02
 3.49874196522784398E-01   4.08830173791343496E-02
 3.91525704966690702E-01   4.23554442679171042E-02
 4.34455251580270096E-01   4.34383019387453231E-02
 4.78270734435853828E-01   4.41264730407566544E-02
 5.22575200080879876E-01   4.44157342090550841E-02
 5.66968589248860955E-01   4.43042582336447971E-02
 6.11050513871206347E-01   4.37932870373096694E-02
 6.54423494666657612E-01   4.28874258394885896E-02
 6.96696387730962208E-01   4.15947469016341650E-02
 7.37487856801676722E-01   3.99267862251983657E-02
 7.76429805967960074E-01   3.78984721268221872E-02
 8.13170715393968013E-01   3.55280049426795058E-02
 8.47378836805218638E-01   3.28366981145866918E-02
 8.78745213384280688E-01   2.98487867292422937E-02
 9.06986493716178566E-01   2.65912076902557609E-02
 9.31847513191310539E-01   2.30933550447961870E-02
 9.53103619911725652E-01   1.93868144649191818E-02
 9.70562727471765974E-01   1.55050845150203672E-02
 9.84067092279942712E-01   1.14833142758583792E-02
 9.93494905070799295E-01   7.35828515805212434E-03
 9.98763057295931400E-01   3.17299198455941577E-03
