# GGQ rule 17: bm in [2^-85, 2^-80]
# 109 nodes on [0, 1]
# Columns: x_i  w_i
 1.87248946695028768E-15   4.75074470596882247E-15
 9.41298654996726047E-15   1.00734038476338394E-14
 2.14155492418276061E-14   1.36192326688256249E-14
 3.60811812364869859E-14   1.54689902260042015E-14
 5.19674438174479288E-14   1.61588271784808752E-14
 6.81911860882852218E-14   1.62196082654544466E-14
 8.43212892914550386E-14   1.60195815521711586E-14
 1.00220338235706757E-13   1.57865348584051793E-14
 1.15929288358320711E-13   1.56563834072985671E-14
 1.31593709235399028E-13   1.57068448780592603E-14
 1.47417041406526872E-13   1.59787320641113029E-14
 1.63630913124709707E-13   1.64893449669180125E-14
 1.80476140962674824E-13   1.72408801172597278E-14
 1.98190668551708231E-13   1.82262577978334188E-14
 2.17002802577182561E-13   1.94340866746665130E-14
 2.37129240746369707E-13   2.08532473002860093E-14
 2.58777248270746983E-13   2.24764588707952422E-14
 2.82149592425088124E-13   2.43021797009100016E-14
 3.07450578376772491E-13   2.63350057845411136E-14
 3.34892047348235986E-13   2.85853456413459037E-14
 3.64699047003897909E-13   3.10692201146859004E-14
 3.97115668781663440E-13   3.38089110560497068E-14
 4.32412245764704915E-13   3.68351478680001005E-14
 4.70895766103318625E-13   4.01914298861980786E-14
 5.12925807326506520E-13   4.39407659892610103E-14
 5.58938477783935591E-13   4.81750054819841298E-14
 6.09481257202122409E-13   5.30275041701309213E-14
 6.65262818341639396E-13   5.86907676446409454E-14
 7.27224040757595290E-13   6.54417768185762658E-14
 7.96640180130417230E-13   7.36802021166039629E-14
 8.75271983028246868E-13   8.39907218347851496E-14
 9.65600245068928162E-13   9.72531304572657042E-14
 1.07121357358950790E-12   1.14850549326465106E-13
 1.19749526138871656E-12   1.39085795523879344E-13
 1.35292523413033503E-12   1.74057074589849855E-13
 1.55172543037447282E-12   2.27641584385393964E-13
 1.81981138956699721E-12   3.16796017391594847E-13
 2.21183269249315522E-12   4.89741247552258372E-13
 3.17152879474698067E-12   1.12779897932959532E-09
 3.18339408763786751E-12  -2.55021443585126525E-09
 3.19298190893720980E-12   1.42427157664309644E-09
 5.67874166556891383E-12   3.21114639751632644E-12
 1.60886895081623524E-11   9.39088724812831690E-10
 1.73683227207244626E-11  -6.78376413580719517E-09
 1.76199930279234482E-11   5.89151417004933245E-09
 1.22630324954612393E-09   1.64410091841922090E-08
 3.02018089436098536E-04   9.91781812435699834E-04
 2.35950007599464292E-03   2.78869240910111773E-03
 5.03286424563502595E-03   2.92398830946543394E-03
 8.89111433400534279E-03   3.54073263086490545E-03
 1.19299062088017421E-02   4.75426499369293112E-03
 1.89462022258934625E-02   7.31626040919032810E-03
 2.50026948214245731E-02   6.62731289242518128E-03
 3.47274976805947780E-02   1.14385835586201332E-02
 4.25660662181733679E-02   4.97875828307837998E-03
 5.22335775956317000E-02   1.43691486827153200E-02
 6.68264912714116727E-02   1.31982331332781977E-02
 7.74342106017634757E-02   9.69418723613089776E-03
 8.93582837471667418E-02   1.35728619702546304E-02
 1.02338660250495594E-01   1.22951803813216437E-02
 1.16726237849197625E-01   1.76598729416005060E-02
 1.36132986223997499E-01   1.87481269607426108E-02
 1.51069099266381734E-01   1.41103707791299243E-02
 1.70545440793149705E-01   2.29003028075422596E-02
 1.87443784337368663E-01   1.08542238273675144E-02
 2.04626151389875638E-01   2.43253577886811505E-02
 2.23833795991285084E-01   1.18350179912102716E-02
 2.41278138241564549E-01   2.64754717317748842E-02
 2.69403091282098384E-01   2.66715176714958854E-02
 2.91399615604590378E-01   1.87225340675387583E-02
 3.12430665945665376E-01   2.33250224244553779E-02
 3.33704622547212060E-01   1.89376685957370061E-02
 3.55495409558568065E-01   2.63665957699225767E-02
 3.83806903582048720E-01   2.71543240947579555E-02
 4.04664148704064142E-01   1.78249077368781567E-02
 4.28971088794179167E-01   2.87222181666589547E-02
 4.50313500562241786E-01   1.50134838147620176E-02
 4.73918075239117942E-01   3.29284167282131238E-02
 5.06600507182622728E-01   2.76175209546081976E-02
 5.26177732673648868E-01   1.82447589990021551E-02
 5.49567029731776846E-01   2.33195622366582540E-02
 5.71146390993219399E-01   2.36797913091665348E-02
 5.95230814594117308E-01   2.01840510540814456E-02
 6.16247917507787069E-01   2.71401319595625037E-02
 6.47613365369481220E-01   3.12974036558808372E-02
 6.70501731751171226E-01   1.56955226826266149E-02
 6.91730369149726854E-01   2.69193162275793152E-02
 7.12705944452548978E-01   1.48680294244396532E-02
 7.33517540331417917E-01   2.80384724314319683E-02
 7.61146960007289541E-01   2.38940347422255742E-02
 7.79638163385034444E-01   1.67652685404794596E-02
 7.99764895572509960E-01   2.11862552811630279E-02
 8.16716565974314301E-01   1.38562601808823790E-02
 8.33754014460648230E-01   2.03454908414148899E-02
 8.52196402069019254E-01   1.43049301538478637E-02
 8.66301646362747757E-01   1.75067368660088082E-02
 8.85926365874673771E-01   1.83058389706395562E-02
 8.97753537386420053E-01   9.12621499621705211E-03
 9.12224305900621757E-01   1.69053865280789049E-02
 9.24683954212003889E-01   9.34070664078695198E-03
 9.37450243463718080E-01   1.57406373821056787E-02
 9.50494189159958536E-01   8.27851080280587147E-03
 9.58699831667208957E-01   1.12651202530586261E-02
 9.70546879927602912E-01   1.00874901513220705E-02
 9.77262868484753411E-01   5.30073055937085955E-03
 9.83942932607017040E-01   6.71284736526184169E-03
 9.89410524271919223E-01   5.15546723650692814E-03
 9.94967118698105168E-01   5.31263402613057611E-03
 9.99002868333395244E-01   2.53944045021901226E-03
