# GGQ rule 09: bm in [2^-45, 2^-40]
# 79 nodes on [0, 1]
# Columns: x_i  w_i
 1.27300544066549522E-09   3.25162224600032891E-09
 6.57599398686757739E-09   7.27590453812657615E-09
 1.56137147242122053E-08   1.06733224357090091E-08
 2.76459262227951368E-08   1.32462184426545081E-08
 4.18196001204160151E-08   1.49644414216874375E-08
 5.73271583452118827E-08   1.59428601806127602E-08
 7.35275142208235596E-08   1.63885835871254350E-08
 9.00041244019417665E-08   1.65325761269587811E-08
 1.06559771851547791E-07   1.65760030612109716E-08
 1.23172436350062921E-07   1.66665343063656164E-08
 1.39940503117021935E-07   1.68986546477236300E-08
 1.57034792905891721E-07   1.73249611908665187E-08
 1.74663217996455885E-07   1.79690408679451781E-08
 1.93047283427196636E-07   1.88359952852089560E-08
 2.12407652994948048E-07   1.99201075853664208E-08
 2.32956161121647788E-07   2.12101328390278854E-08
 2.54891968593171687E-07   2.26922352786133110E-08
 2.78399234972275430E-07   2.43499514703684142E-08
 3.03642945881997223E-07   2.61604302317128859E-08
 3.30758917098021320E-07   2.80865172485283012E-08
 3.59834044429591783E-07   3.00656721699128776E-08
 3.90877716260997205E-07   3.20076152574938842E-08
 4.23816153953113303E-07   3.38588272972452555E-08
 4.58632624005213396E-07   3.58414294876823205E-08
 4.95769901632120740E-07   3.86320047339482712E-08
 5.36345770516706367E-07   4.27365248417436976E-08
 5.81599072342514384E-07   4.79079298790682314E-08
 6.32389426630552551E-07   5.37773562739397990E-08
 6.89380350561061808E-07   6.03350033436307465E-08
 7.53373288077215674E-07   6.78391057114401909E-08
 8.25512243586747156E-07   7.67097324180623728E-08
 9.07443060933295961E-07   8.75398037665708806E-08
 1.00152630208598483E-06   1.01187572321615090E-07
 1.11118449605673652E-06   1.18959451583641019E-07
 1.24150396094913669E-06   1.42953530774957418E-07
 1.40031802307205329E-06   1.76712653646568612E-07
 1.60021232025592524E-06   2.26485325402444776E-07
 1.86234510710832470E-06   3.03758942053048497E-07
 2.22405898791545797E-06   4.30741537826454250E-07
 2.75516613900934869E-06   6.53485039470121934E-07
 3.59647287778526685E-06   1.07738390933797803E-06
 5.06383749371764027E-06   1.97880742864235830E-06
 7.98324228552738308E-06   4.23303799022949756E-06
 1.50691962474541114E-05   1.14792361168160488E-05
 3.90506315920339359E-05   4.63917017741821382E-05
 1.77639800438785509E-04   3.27017790216521805E-04
 1.18256457424478767E-03   2.07537339858131437E-03
 5.03162712445324057E-03   5.82704707302980629E-03
 1.30098427232256640E-02   1.01520152026245616E-02
 2.53360475194679725E-02   1.44882247279001820E-02
 4.19492312517328603E-02   1.87147271569264549E-02
 6.27109616399374736E-02   2.27779373026130265E-02
 8.74370540098378390E-02   2.66371246764942789E-02
 1.15905093744178386E-01   3.02560552724008593E-02
 1.47857957749074342E-01   3.36014563522094786E-02
 1.83006625787744154E-01   3.66428107634784381E-02
 2.21032979543019176E-01   3.93524677882888460E-02
 2.61592760763419752E-01   4.17058314624708937E-02
 3.04318725028321913E-01   4.36815573522891520E-02
 3.48823985799354641E-01   4.52617340010818478E-02
 3.94705527923997324E-01   4.64320393275847454E-02
 4.41547862954975501E-01   4.71818673048973874E-02
 4.88926795167184458E-01   4.75044223550852296E-02
 5.36413265165678110E-01   4.73967799452803470E-02
 5.83577236805588484E-01   4.68599125124834967E-02
 6.29991592516623400E-01   4.58986803154484910E-02
 6.75236001925067164E-01   4.45217872074343129E-02
 7.18900728841411207E-01   4.27417016820556758E-02
 7.60590342204226055E-01   4.05745438823112564E-02
 7.99927297424178896E-01   3.80399395874998214E-02
 8.36555355745532858E-01   3.51608425094145499E-02
 8.70142810732329353E-01   3.19633265480264786E-02
 9.00385492807579069E-01   2.84763500096098764E-02
 9.27009525005408563E-01   2.47314942926881130E-02
 9.49773806071243065E-01   2.07626806825307840E-02
 9.68472202285237449E-01   1.66058731098577307E-02
 9.82935445543352992E-01   1.22987983980179516E-02
 9.93032833649492352E-01   7.88092795930166005E-03
 9.98675190072602637E-01   3.39838538149595882E-03
