# GGQ rule 14: bm in [2^-70, 2^-65]
# 111 nodes on [0, 1]
# Columns: x_i  w_i
0.36679012296953294411890417633496460E-12  0.93032597164382300660343381258534409E-12
0.18420456541567636408589582751143784E-11  0.19692355888749252395535080948316352E-11
0.41862185131221474844005596222785856E-11  0.26577035538547881293677450901866172E-11
0.70455617939472697476118557519700985E-11  0.30134310065773590820441964392922949E-11
0.10138161484385191237139873073220804E-10  0.31441518796754047186421186417331594E-11
0.13295429760429767319500714597877201E-10  0.31583202940124553036611712877664991E-11
0.16441434171861633532946034884787311E-10  0.31313652138843909599557014047733397E-11
0.19559719524590034396431443603954806E-10  0.31084116943919145697197569620042476E-11
0.22667887862792478129980702694795897E-10  0.31139154829461693409470134565352579E-11
0.25800849924519564160953367163301763E-10  0.31590487251127856401598631370871506E-11
0.29000211487343691665773039633726304E-10  0.32466927026624476478038671364016803E-11
0.32307653613613191418236291501840400E-10  0.33744583103635461062347917457681021E-11
0.35760343464407337335528477950562599E-10  0.35356997382859586867036376529516310E-11
0.39386333670970454313531264010369625E-10  0.37185522700985158657393251381537012E-11
0.43198717656116111585420691626802584E-10  0.39052311789505097848444914292907344E-11
0.47193362144873917581370976708556418E-10  0.40831722627317698411858143603687346E-11
0.51373254146059179962480626093486381E-10  0.42890039666602003088351647423490904E-11
0.55817003783121650765425447111932942E-10  0.46293925252128021067951393828270661E-11
0.60694095245448240516076732538042325E-10  0.51508310390294306381030533836354851E-11
0.66155482598812260188595390949983001E-10  0.57840830142054998337277282441190514E-11
0.72281169841698409666634121954040165E-10  0.64762683173664176621497477860779617E-11
0.79129993005273449147700455280986532E-10  0.72357928236130505334656979546796885E-11
0.86794485252459669997378055198695368E-10  0.81243514897697404333132813686388319E-11
0.95495748193641326775635548952297199E-10  0.93999005955739814540813972808687405E-11
0.10920110656560209061021536735648383E-09  0.16299860140164186040222733039339755E-08
0.10954424912783669396521011588444429E-09  -.32348009705174955633442065353279379E-08
0.10989423632987232019613096454518055E-09  0.16245899671957393360173949407772493E-08
0.13398767669697528187797903682408847E-09  0.27050661085173605500187799537100922E-08
0.13502562998334946729045409664882115E-09  -.61695578284545844136115213570860193E-08
0.13694342715551294378339999591401783E-09  0.71514190668433067089357958518097082E-08
0.13881987988353829175319470360972140E-09  -.62361284274117752669247874160110486E-08
0.14000276992943916371057770658997134E-09  0.25858562146451599354965192287963187E-08
0.17380940169420778425271954396236062E-09  0.21063565181040999560750509679530700E-08
0.17461846560372217639232941449880148E-09  -.41939732914889757662523841401995715E-08
0.17543710093875182783250425005625496E-09  0.21260547311672023994731534389411153E-08
0.22333748686411949669710302427836344E-09  0.33295110468266172516119609867675659E-08
0.22608582940907351860622016853751044E-09  -.81690083649215395660858501846395685E-08
0.23059158733255849086345754659734935E-09  0.97649082974307693259128364516301200E-08
0.23533835115192285806101146661757022E-09  -.82440410123068312885354926691563051E-08
0.23848728927670501459830761293599273E-09  0.34001706571917322210121927465830671E-08
0.30370979097739034241288271539367911E-09  0.56424063585805812246907522820291741E-10
0.37054396468062301889197606837339142E-09  0.80403398736546860530975131481641810E-10
0.47342402382085284514284341005939822E-09  0.13218452091294723305938458597895400E-09
0.66016768530539602484477134104720546E-09  0.26552150006276599018912161553703271E-09
0.13391685608173589010365779732585309E-08  0.11548161905740184839181760944755822E-07
0.14940198804730668194390454541908046E-08  -.26172131197039213467906206222963945E-07
0.18212998892941541505228073981252320E-08  0.33466910300364581958359848230082260E-07
0.24289294381357102072431733816312859E-08  -.47313970782513821153385443273753810E-07
0.28746224609460515924417121822617493E-08  0.35953243293636956716163183122001276E-07
0.11828490845370644631126455283458717E-06  0.10214458550387267192705848280165672E-05
0.33912570460968305517691114185682413E-03  0.10377973743981059100941394322056535E-02
0.23419826753238627290313283805614628E-02  0.26118249813481950693068799898992053E-02
0.49279803527595118150521415762743928E-02  0.30531521433337198781332204146155186E-02
0.89622838253887357255649626323319412E-02  0.37745003485212348361671075561289599E-02
0.12391877808803315637973335594195162E-01  0.51814101999630456420266375281460125E-02
0.20096665288420502093620613033762830E-01  0.84298294147015640089063307593579861E-02
0.26286774958290897105191767598871914E-01  0.56963264986170068111724869290563353E-02
0.35895744561438296484155374242608919E-01  0.12250820747478663489131692399031199E-01
0.44262118131940119844270134020959240E-01  0.49679414190274431607626941553670729E-02
0.54435909359571631545937942403735980E-01  0.15463415655767280914935894161934256E-01
0.69051839547843786406616558873103763E-01  0.11639665486797383927058430172355668E-01
0.80443850547607485027449832297800128E-01  0.14024438366543715662923148346636137E-01
0.94821404393436848959370290390432678E-01  0.12345120307885961475858242678631727E-01
0.10889897312295756034914209076318934E+00  0.18568777129813602153681947167186390E-01
0.12967700994867241033565100161599262E+00  0.19546500276959278225056558073018398E-01
0.14366176590924863706653906198748711E+00  0.12315240593138302314269736167515304E-01
0.16095621664788140251972428344021537E+00  0.18833712990671451296140377163138476E-01
0.17697853080712961906831051063479330E+00  0.16438810914706714383446608971461451E-01
0.19802794643029350673108969481013688E+00  0.23308609975390090839447624675217319E-01
0.21781300431628430771774083106755783E+00  0.16187668501782628586560043377537029E-01
0.23693358888210413592317549337085300E+00  0.23906632907414243272358720105232604E-01
0.26306184786865164033185742120739383E+00  0.26469082953823540047857551171293716E-01
0.28594535102267618690972630103233292E+00  0.18732201653370521188054987955973938E-01
0.30615506797180787563522571511169762E+00  0.23478873750502748530885227945525463E-01
0.32715676812955627180844568178689771E+00  0.17427656987879458429326543353117732E-01
0.34990571830762564859381453060205683E+00  0.30530232517808102366914573285266882E-01
0.38339778828563184467412507928108822E+00  0.32585438391059671258243607935048207E-01
0.40353574254849927453436019621586200E+00  0.11963613373451791161059967699011295E-01
0.42702234411751862022042699483985757E+00  0.32238403513072233052206995653427176E-01
0.45212581719748376587932702546304126E+00  0.16901825289224650766302452225804840E-01
0.47493483085408756672169368737313872E+00  0.31713744976206627427792673683984787E-01
0.50636880593567755577740186357753379E+00  0.25836253851269902109805697891501700E-01
0.52511311132243037712466103905897278E+00  0.18253102099298805781885623416877951E-01
0.54783629667671620451104152761315739E+00  0.23810058187100735415650415775380167E-01
0.57302424913247358144280386939729196E+00  0.27683791386421910705372950673989309E-01
0.59642994242723704479858391903903738E+00  0.15775023412392542316370833027123085E-01
0.61661690562679464645081905880140153E+00  0.29964582002760775987377669891722025E-01
0.65005474918992653892560330236865797E+00  0.32723545487059616387408299105181483E-01
0.67287459046046097063709324297553093E+00  0.13940734412720056442331331020635569E-01
0.69379823877923598466307120257446727E+00  0.28824437567287257403274841927528381E-01
0.71785055568257815650784821295673103E+00  0.16457550794755464650662298241705358E-01
0.73691029736456827266683393169715107E+00  0.25729863889518792123408337239925508E-01
0.76310543186818703015006879488014087E+00  0.22961047094644553072886593186633103E-01
0.78215200668851301270049501730570347E+00  0.18038104316682904249574107754594844E-01
0.80201207814025592916010649290308955E+00  0.20754789083009761596136821410243793E-01
0.82298202473732243971394835047564700E+00  0.20665463493697322849909181313962875E-01
0.83908909307598605941238777395573364E+00  0.12290045034699593080980162696663576E-01
0.85631920926436125180883726561854045E+00  0.22983097624774723230189356644490750E-01
0.87970777782769402220193654804773048E+00  0.21090614325460327642099245916809651E-01
0.89365677811645297327468413387831593E+00  0.94410256614030631744682407470947137E-02
0.90723309157083527392269903033438054E+00  0.15721910035355966580875464345087824E-01
0.91879176038999786313418046425385512E+00  0.95183163798791645087621848229806045E-02
0.93126507875157790450090273031388606E+00  0.13944403242817341667025514077455210E-01
0.94400957274885925343751094514807144E+00  0.12146474129456801856018167433982061E-01
0.95673883827819991274370513708780662E+00  0.13010005636355876812651298829190377E-01
0.96913434145460987837157004441077549E+00  0.11647674820706236359307460913212912E-01
0.98007400252994425552743006872453260E+00  0.10172195801386476759831199878953124E-01
0.98898105312353777652390573576247667E+00  0.71898286546566120083691652620605497E-02
0.99358148808693450252081633863608044E+00  0.27819252151394935183004611602440350E-02
0.99701750912925314870566647240833361E+00  0.38104925827922795027120918901229340E-02
0.99962219611279465112525052052153414E+00  0.12093443964865574891888280318193274E-02
