# GGQ rule 09: bm in [2^-45, 2^-40]
# 78 nodes on [0, 1]
# Columns: x_i  w_i
0.11897859741505614743260253750550948E-08  0.30374244727845339150477473849058767E-08
0.61335742100249657016533217377265904E-08  0.67709354151674129975482877893375860E-08
0.14527041482174258424291505594345287E-07  0.98991084642408403621909936225564923E-08
0.25689623991930015658197918461751709E-07  0.12305980661326812743194317791414375E-07
0.38909923323262308073892814701340820E-07  0.14026780472533958601837436355267600E-07
0.53542331456967985903996259704117738E-07  0.15145675412882605931794715794963297E-07
0.69036553279638230538000037665591216E-07  0.15772087935627613196902388080478265E-07
0.84972807298388188688301290132728151E-07  0.16058187716015583526343166972212680E-07
0.10109755427216999174654865988820053E-06  0.16177368041719852649493067831292090E-07
0.11732333120912968130458452695685952E-06  0.16282373712806759838308726637745420E-07
0.13369458803228323613925765785456482E-06  0.16482778787115831277410142705077423E-07
0.15034334104359303233593383506333962E-06  0.16845479241074084910527525298091682E-07
0.16745154146028505420145120013235109E-06  0.17405501502626365901229910091967747E-07
0.18522516115249041104331936561933425E-06  0.18177609772528620394126886325093349E-07
0.20387866294339009864831492436092277E-06  0.19165258663339551746190347619490473E-07
0.22362695177977079337218008939307551E-06  0.20366690084605901784978316923068313E-07
0.24468226857275899670498933069929804E-06  0.21778835104845429324495464835965359E-07
0.26725413963264318126953113981192941E-06  0.23399607652241366174016062162883900E-07
0.29155102513426055465903154134177252E-06  0.25229098894496204126857816360556484E-07
0.31778285252681456010524818108186138E-06  0.27270251022204341432256870709433875E-07
0.34616417456293555998034120314489903E-06  0.29529484005795140944301353045656943E-07
0.37691798038366653677956948465715027E-06  0.32017350708144103402012995878041994E-07
0.41028007987217510511435087361795741E-06  0.34748988322132470640476792064991142E-07
0.44650381109556461853252844691965207E-06  0.37744371259039400801336454863398423E-07
0.48586524457966599789939223048769534E-06  0.41029332570156587998780947862977232E-07
0.52867080608213081635391387904521980E-06  0.44639984464629717337665075972045069E-07
0.57527284711520216653965723098105604E-06  0.48635070947127494242536277308761063E-07
0.62610363841756417733216746655920100E-06  0.53121052746226797918364152366646884E-07
0.68174091185011485603698484905377684E-06  0.58288961541894137530548889170813255E-07
0.74301036397644871047089766895236311E-06  0.64447534457319141441448943147313927E-07
0.81110938023901204692693008677811751E-06  0.72029965200625901354719693903776144E-07
0.88772637186964538260183744421334746E-06  0.81585411134825944854420924446887328E-07
0.97517036793494374156308484155272214E-06  0.93821308268477319014643093021257638E-07
0.10765966356596348255943454146115668E-05  0.10975983885155360524666230388168800E-06
0.11964575062931039828912366825843682E-05  0.13103673677929578701002927630225115E-06
0.13413484208515094454485874976986113E-05  0.16041423190052868383591081031355944E-06
0.15215551987286101570618487310014863E-05  0.20272286971467907001907412415972012E-06
0.17539396594827925998825205565222944E-05  0.26671069276284895040288482415673146E-06
0.20675464369577410688549187367237738E-05  0.36891797077544802740686682590782838E-06
0.25151919839747818141857904500500410E-05  0.54255035116053786852810551873591069E-06
0.31996427702994392618962193161059581E-05  0.86023068450976381191057695064327194E-06
0.43402505184312543418094943210325009E-05  0.15010180017648642990650615567701375E-05
0.64716796501334249055814299432543802E-05  0.29867901238295430869628622304296880E-05
0.11182403738756218445046343699326550E-04  0.72557995396946004062919196808767568E-05
0.24941793862655492226083197706176482E-04  0.24827237501572722057724469063477052E-04
0.93325256219461616152475220236542654E-04  0.16210782197000776460027061427419640E-03
0.79239351417121544299313062728073414E-03  0.17648511945892463339967625126122331E-02
0.46069172810046352020805468359488997E-02  0.60598638018751878139157539171305803E-02
0.13015481952059177493928289456593825E-01  0.10757453564051998385714586664978118E-01
0.26097614609198594004706077468257308E-01  0.15387607797342991677300653816219337E-01
0.43743044266127545686133714937114292E-01  0.19875316862676168807244731881846702E-01
