# GGQ rule 06: bm in [2^-30, 2^-25]
# 79 nodes on [0, 1]
# Columns: x_i  w_i
0.19643343763230566829879941407498748E-06  0.50228896316598731735412626624839433E-06
0.10192840806763289461624483366703140E-05  0.11340346035831513278866603840160852E-05
0.24386230357330693956040071756084494E-05  0.16888468165274153858015479119024142E-05
0.43613934352707857608397335859712925E-05  0.21374777349528753579286614132345712E-05
0.66740408562263068030864555715309623E-05  0.24680743697682580362528813853553800E-05
0.92597656544997528706537601968709497E-05  0.26858438116915269258348201263704390E-05
0.12014633820430787713346399160084935E-04  0.28106400557528594500112482725631871E-05
0.14859683774078840060252033282549098E-04  0.28714063601605075604754376803406226E-05
0.17746419776869248737465836971774147E-04  0.28989402013002619721768223587069979E-05
0.20655450742776338564226827923546236E-04  0.29198855089640782274081980407927751E-05
0.23590594465738793015804365373364223E-04  0.29537963586374154094202316061978103E-05
0.26571551832267055302438234813234391E-04  0.30130396313134890894587276363806889E-05
0.29627367607410920449200611968660165E-04  0.31042347664864262806062040857885209E-05
0.32791595015025430465211564556634599E-04  0.32300753685103911122473849047877865E-05
0.36099205694530574469843277098394438E-04  0.33909439400478394761404217279519367E-05
0.39584933055499920288773683296857297E-04  0.35861585235320043826098131725038058E-05
0.43282681970376036350887707004202336E-04  0.38148653495684827634519803145059470E-05
0.47225669267161326146158922379555820E-04  0.40766126509599826222851319558747019E-05
0.51446992370971605631552038455629192E-04  0.43716416131208238655209576354886478E-05
0.55980379196102405004360133066736496E-04  0.47009775895539654343460674430900043E-05
0.60860987921755052318665392334953018E-04  0.50664654694989610309029111418303791E-05
0.66126276974863335986731366453552281E-04  0.54708940746492296149056641131678639E-05
0.71817074961230277834629951287220221E-04  0.59182730316023384759878024071256965E-05
0.77978992026285048489638618564881065E-04  0.64142276898756551037191880785886152E-05
0.84664258241599729435728382224371055E-04  0.69664518377876439160328352769295145E-05
0.91934047148015727901993307437643827E-04  0.75852412174102032330138976018886783E-05
0.99861439335740351139800182890922253E-04  0.82842795456938190123624896252125193E-05
0.10853540143843198189291269875843099E-03  0.90819213538135550862727200686487595E-05
0.11806637685609545162704256032991990E-03  0.10003159256479386710871171638018701E-04
0.12859426931662712899914874050768843E-03  0.11082496149415571366196928692541479E-04
0.14029994671739094207173605815420432E-03  0.12368232002242394336914619073084222E-04
0.15342210619516755558212631460584441E-03  0.13929091590262456235165838809775959E-04
0.16828252540887366549302648296208182E-03  0.15864691351767772628624480810377118E-04
0.18532476778109850977545074509271227E-03  0.18322616400517772838424915693435069E-04
0.20517542703349967445725831963955659E-03  0.21527708677931075242187221292993786E-04
0.22874501484103308079277971574782985E-03  0.25834501730044887439499222394291981E-04
0.25740064661683790745056460176343907E-03  0.31822707521310057767286402767357498E-04
0.29326952996341202201234228723224336E-03  0.40471129090643263773397048642937275E-04
0.33978161548919658133413443881989892E-03  0.53477844861096084730580496459812711E-04
0.40266147075385463012310200961765366E-03  0.73874401092461270127569135565557742E-04
0.49181261908043458596282608631745539E-03  0.10728298934262931384763961725010875E-03
0.62509971320200946465540048716217019E-03  0.16466694309258779569394918463271073E-03
0.83641219948075134523227446514439597E-03  0.26866234735160970483072398152862509E-03
0.11937271507055252641505039751612233E-02  0.46842842161589425557914662589005775E-03
0.18400957210062201784865418813045448E-02  0.87253005916475484046269488629168139E-03
0.30794435470958324773997353485547871E-02  0.17037846202183821609937818884143531E-02
0.55066618532571920223663767653702704E-02  0.33101148366556969579200896316588992E-02
0.10050082067457681001739485132243144E-01  0.59520065088080672199556686913710093E-02
0.17715731298818809383439730178686397E-01  0.94994818814702664615828237076937664E-02
0.29218509914823134371443573372482079E-01  0.13558674993857650146280358704095465E-01
0.44889205864150434879467658323969479E-01  0.17791204436978560067944045121776967E-01
0.64790448454632216804005047558089069E-01  0.21995123917030443250826084203973070E-01
0.88831127934173715631493823885466982E-01  0.26055371503595912490399683620251018E-01
0.11682876513458614779670586297709592E+00  0.29898960116015800163739953437431842E-01
0.14853905469445596103465623382280576E+00  0.33472902811271242100682839104718527E-01
0.18367049439604911264290737410807621E+00  0.36734833976510646528295547517679665E-01
0.22189279645452550351010608626632196E+00  0.39649156822609401865613489870833012E-01
0.26284275884285661567413225148303638E+00  0.42185484318108956979699821223081901E-01
0.30612912567999229062107661655187770E+00  0.44318040291227791175476949706916888E-01
0.35133708120336698777563499628398893E+00  0.46025467965080466980616201986384710E-01
0.39803264977941924535348554052663202E+00  0.47290808038539936969150027030885810E-01
0.44576711096531420544464354118325778E+00  0.48101538859370065465000195271636942E-01
0.49408146316256891048763620124361817E+00  0.48449627643212897439573683510270539E-01
0.54251093278011411337473646171444553E+00  0.48331567318827470020788898532268406E-01
0.59058950726071851819859795250688989E+00  0.47748385859598036801712974451314548E-01
0.63785446063594093768451232637334900E+00  0.46705621199050172583896761436614905E-01
0.68385083522616442098674688400443721E+00  0.45213258214143472085902306222775029E-01
0.72813584065919906883795354300692023E+00  0.43285626244930935314921259446594019E-01
0.77028313052611362316124288130513334E+00  0.40941256887950512111331472955481717E-01
0.80988691719756550371101631688389736E+00  0.38202702689569698997459767527405718E-01
0.84656588630374885641858957958580596E+00  0.35096318048196613022434259756517286E-01
0.87996687398521791795695207278782996E+00  0.31652004215330047798531599660010101E-01
0.90976827219828606759861210301488299E+00  0.27902920872376864884901854350313502E-01
0.93568313022096524411926432146665126E+00  0.23885167623043142802229398037081848E-01
0.95746192476769838191876428138329827E+00  0.19637441064655466829626865135771664E-01
0.97489498075953890038646228985344612E+00  0.15200684139706569388024479106814604E-01
0.98781456952225485968604824252143019E+00  0.10617830820537223460579358412281589E-01
0.99609719321403914303127097752576517E+00  0.59351505957974503336563407958869705E-02
0.99969000433437352670499754764395724E+00  0.13281837869945620889959757280949876E-02
