# GGQ rule 16: bm in [2^-80, 2^-75]
# 110 nodes on [0, 1]
# Columns: x_i  w_i
0.10378079554783020175210136287427201E-13  0.26389023394168942328545690196501734E-13
0.52589372326995532472368175707401234E-13  0.56775938996553188391790075802404975E-13
0.12074792436604893630502666312714127E-12  0.77783470792561377484907514778458460E-13
0.20479804387230187866804688473356197E-12  0.88843690692371775550954880657691462E-13
0.29608828008568115255595134147037084E-12  0.92865027669874890124819716413300909E-13
0.38929834882676835935295530399889448E-12  0.93155827438626419074488300208956236E-13
0.48191921256427696725266349771451449E-12  0.91973393949510109637568536979843165E-13
0.57320229333083167516320038854187993E-12  0.90643375360369825470086462770341998E-13
0.66340660514270913291676368760409745E-12  0.89903892052214725278772277852709240E-13
0.75333831127766378886539299947546236E-12  0.90142968753289248999989732344426526E-13
0.84408541051475782088469819238961487E-12  0.91557918974682977252020700908254377E-13
0.93688259195925803336765209811817875E-12  0.94256858077341856096063403805412549E-13
0.10330482976391062791267906140069529E-11  0.98301733438388717776975400618186378E-13
0.11339400778811637570039199024217010E-11  0.10370670567345008067687137163129696E-12
0.12409019523829127848449401502746885E-11  0.11043111397214034756467145284196824E-12
0.13552164716818700395380572833815015E-11  0.11839811140286295228857251718125552E-12
0.14780869911704699670407738923696349E-11  0.12753285247533478730157879483259203E-12
0.16106581343235351625520608386697858E-11  0.13779744171517459081995309626284530E-12
0.17540643163975549387640911105899791E-11  0.14921153228223799234013282656031386E-12
0.19094915422424996599096501313557484E-11  0.16185863776792743630722245395666619E-12
0.20782395305751855754738228412353153E-11  0.17588118577528711083799377192798113E-12
0.22617759602063135510284709050685247E-11  0.19147143044009100471424743018417707E-12
0.24617847911377620995313637951537629E-11  0.20887113336097619273236855696065913E-12
0.26802244820815299827082003550055927E-11  0.22839362257136251181342946569954545E-12
0.29194235156337453306824488681652747E-11  0.25047772890824270049776421622715893E-12
0.31822506882440429080793478422946537E-11  0.27578719721359934639853295811036309E-12
0.34724255114384565123753597472266076E-11  0.30540658808260652112308253454034746E-12
0.37951430024683364964948017378768815E-11  0.34133521736940219274958710504155735E-12
0.41586681545061203015046018004433733E-11  0.38827107671792181541488489184102834E-12
0.45808729800714624822652645309296498E-11  0.46537085407590833768464291134052230E-12
0.53478931156213905575721670377980668E-11  0.67806631473576454040934561203048772E-10
0.54132893386287978072818642574761083E-11  -.36046618864764720099881010967340797E-09
0.54499262605377938252796068018425318E-11  0.39506514252957698129905078770793105E-09
0.55590207903518138215076527884894643E-11  -.29656113903612074507438599715046723E-09
0.55837481067977604141175633782076171E-11  0.19558177007909265092100720626397998E-09
0.66574059184210817507452630433429253E-11  0.83291240230359656770546045156117402E-12
0.75619169438780185327956994392332439E-11  0.99766678113457779502210524493690181E-12
0.86961936204290378958221874087306079E-11  0.12976844702397970619219105872999107E-11
0.10237985109738049869890958198104125E-10  0.18525725411732241618693601214212671E-11
0.13488577553723912799576395113077702E-10  0.24523609015385512136195367894133400E-09
0.13627627412845441822183860015968345E-10  -.49680459020225219378877837954399384E-09
0.13768773034100968805798423672498348E-10  0.25747509371803378274353908933147901E-09
0.20558999346342547828228316408543201E-10  0.76903555044586986138242909358663501E-11
0.32277246870914275438575749459369102E-10  0.17892826151680563716968559725145301E-10
0.88015318677969513176496628688913984E-10  0.22283814347506963265242983804954930E-08
0.95595949921974891712951573414722964E-10  -.44806698440836823161196217808380264E-08
0.10621001743386933726612324420682164E-09  0.25175811155719862954531351584001876E-08
0.61116913965586151343835844258478948E-08  0.72573635685459678913140003289320896E-07
0.33200776493691797515566846905391282E-03  0.10328549223983293849348104499336516E-02
0.23443380775204264808620158330843922E-02  0.26182725905902141320415815449404188E-02
0.49156460748334680546574407505779125E-02  0.30483488491694210031299588721196451E-02
0.89757803743478086337355431622927637E-02  0.37772417068499123468626638292207003E-02
0.12379474167639639617163949879504370E-01  0.51866278444807305923290490686103911E-02
0.20111272470113456412161314369275182E-01  0.84323423613534099551614306356101282E-02
0.26277195169779397167854736432107386E-01  0.56985478131331081815905913614798173E-02
0.35914563701072894387561960193381225E-01  0.12254087666539422048843444397930980E-01
0.44251957016545071551700669818362593E-01  0.49691472323587943974518835101078134E-02
0.54452009033353488259507527504249682E-01  0.15455477852244306076155615080429501E-01
0.69042692555373181781169103703489779E-01  0.11637485656321667681374516156480718E-01
0.80459130689512424322619439264073492E-01  0.14023708071964487153951435156983695E-01
0.94809387768967830304426193768414805E-01  0.12346810546801795408390362740959155E-01
0.10891077207143843401778824550367734E+00  0.18566351193820766196388548753040329E-01
0.12966451330968114362276584174542969E+00  0.19539448756745737148486478216790774E-01
0.14367773197413833062916011037570037E+00  0.12315110961008913777269558494031931E-01
0.16093554207178590847493240583842629E+00  0.18836523120187230922291599878587495E-01
0.17699024911206612768817756721437573E+00  0.16434241699858423621435938691601795E-01
0.19801138522126142598680710641730858E+00  0.23313064577573998653738684477722428E-01
0.21782535365506203196252651857060324E+00  0.16186171939451478329598379607964625E-01
0.23692404466576506761858599372518961E+00  0.23915596839114660600631240843809709E-01
0.26307487771394984671262988975103805E+00  0.26468436524812217237358523946659051E-01
0.28593289068748364092799266967043965E+00  0.18732081357538527492580465843823137E-01
0.30617146619467906755907664281221728E+00  0.23476719993957255059010026964767887E-01
0.32714502532240405363607333440762974E+00  0.17431482097666261748839318905877683E-01
0.34991178142348824314673396108413880E+00  0.30519445956935739622247332586593939E-01
0.38338193280380919265831222511481726E+00  0.32579338144658781454326356629872661E-01
0.40354662918764476130609822324657054E+00  0.11961633380175173812461659492866834E-01
0.42700181452356219456221446958161865E+00  0.32243933678107016859993540904236648E-01
0.45213678782966136467632836264868739E+00  0.16901267063132718823706263973352839E-01
0.47492004373519914717300465890104649E+00  0.31720561598136723231668056853699519E-01
0.50638469498332475786583259185512206E+00  0.25841906941765163651194922834353888E-01
0.52509350478609801825173563648765151E+00  0.18255498386938928823246612806634511E-01
0.54785266099563605652188304772255893E+00  0.23799113133856131163949172494788336E-01
0.57301126712424782603487948152894283E+00  0.27689946194934822737616213015782187E-01
0.59644364684971369092363809132869712E+00  0.15772472096598501654282819390088723E-01
0.61662228087706324339282803347825573E+00  0.29985101062127521109908814141632883E-01
0.65007692137477032782801591546104339E+00  0.32714071163545329685899399168027787E-01
0.67286386483352406987564863866531218E+00  0.13943187717583669224804563962984766E-01
0.69381491710236501545085898987986020E+00  0.28812839581811292646873115790346007E-01
0.71783607609150101915387151063747076E+00  0.16461843971377918900019740185668141E-01
0.73691657213106532892121694286368324E+00  0.25714454634261957590327385295003067E-01
0.76308754925639421032549467070866324E+00  0.22970844503043179575012636609802852E-01
0.78216369422217778622984088795262603E+00  0.18031792228133476242520857118495540E-01
0.80200093185440905405652888649270754E+00  0.20768877918401912702250822115327399E-01
0.82299670002465495975990354451116321E+00  0.20657576714175790251661490258886578E-01
0.83907900640078572147718680773210690E+00  0.12296013673602689815381100383089788E-01
0.85631580564497796545877706967848666E+00  0.22956918980437341955727083431337721E-01
0.87967895514056923589343341499796872E+00  0.21097718608635673970349926341471575E-01
0.89367245416297065622177819278362426E+00  0.94386468741944663603156116503785233E-02
0.90720546842636682746204604681982242E+00  0.15734130545962701580618934098311949E-01
0.91880084326667933439635412357189227E+00  0.95084897032847897985331017843223294E-02
0.93125882036990421132690252834639834E+00  0.13969799229361109987797073048413448E-01
0.94400821204944413187497520393018681E+00  0.12114409277608407077896478158251734E-01
0.95673366005063485391028920791231222E+00  0.13053037232162829348036361680002645E-01
0.96916092327277555487895083742973125E+00  0.11626747695029963970886074710534215E-01
0.98001537419421738135112954806557014E+00  0.10054481279190732213634183124730475E-01
0.98885473501825674359242875020520585E+00  0.72233188424554241971956453778960875E-02
0.99350655685191416707869852153382972E+00  0.26209420765243678533839768827678060E-02
0.99664776867023708059288577999520716E+00  0.35685357968397368329137824935778693E-02
0.99897979428082761666868707683617743E+00  0.10895589598664439476405949698431345E-02
0.99980451780121423763180453833867907E+00  0.60529009755248700871199984495394742E-03
