# GGQ rule 03: bm in [2^-15, 2^-10]
# 78 nodes on [0, 1]
# Columns: x_i  w_i
0.27362796585525436562256124196425478E-04  0.70057895840336270407332172543143686E-04
0.14274859400563468692045769409960018E-03  0.15987137896939418218886500218589003E-03
0.34467023286340062843546937752319881E-03  0.24243714509044249474227200183404923E-03
0.62403148468626350722057024192894397E-03  0.31426610547193704166955670410598710E-03
0.96884270326272334665246911758389978E-03  0.37306255422483594550425032101934854E-03
0.13654927816857369070793924161104747E-02  0.41792043623034948272938406633246757E-03
0.18002359466878961400911575556858061E-02  0.44948484382530071199412786562049199E-03
0.22607149281274741064291034633851476E-02  0.46984102436792584531843285984723414E-03
0.27372085172364282482092791092794827E-02  0.48208132789148602190631969798458149E-03
0.32233328734544125400115294211791236E-02  0.48967942386870965647406187794066473E-03
0.37161131149263827345765410473668575E-02  0.49589335212475020956630105700714059E-03
0.42155493584614514061609260678637164E-02  0.50337071343586744909851645343598832E-03
0.47239150367478601444554164804479253E-02  0.51400584080268876224946614050429715E-03
0.52450178069778600462489674807736064E-02  0.52899298735957183992892210821098995E-03
0.57835716277135565718830861971135506E-02  0.54897966567875021092654276162019897E-03
0.63447376490545986447596824536372763E-02  0.57424065363572088298428058075246968E-03
0.69338299732446221343042076325617950E-02  0.60482931488592774428742949454926959E-03
0.75561542947739806882601365821295759E-02  0.64069104959766448700639687484002735E-03
0.82169403900001740938023038040085633E-02  0.68173815239940519856269626316996274E-03
0.89213328177098710587830323171802180E-02  0.72789307034669615481043559641000795E-03
0.96744141282932934576236036789656135E-02  0.77911252820151087225055502502562551E-03
0.10481248467431235638106469734646496E-01  0.83540625472106012442404745939007567E-03
0.11346945296598267024394035110538839E-01  0.89685939494502969458092262682352558E-03
0.12276748466374774512525222145788063E-01  0.96366068684164475335910849933490962E-03
0.13276155820001744835105845005565376E-01  0.10361352167690170350639030849386147E-02
0.14351074164330010671768054663168919E-01  0.11147829183809876586042466364143002E-02
0.15508017125107001052505978233040419E-01  0.12003263382970014379746090196803994E-02
0.16754355822312134939504724207771429E-01  0.12937681684202750133409589558982388E-02
0.18098630864907637121271712239180276E-01  0.13964561384395584843136260176390789E-02
0.19550933921633494998431803597607211E-01  0.15101587808009139309763977123875142E-02
0.21123375980353320089515243033501551E-01  0.16371660341292759087583930168386388E-02
0.22830676588246650179172434361806047E-01  0.17804338956375516398631592925588973E-02
0.24690927846761026506324313109082004E-01  0.19437923241983528893706531156041103E-02
0.26726604648062832624956731308530296E-01  0.21322316821597826514142179944659188E-02
0.28965903110909869167133821533747696E-01  0.23522723710756419196549416219433814E-02
0.31444488341252870314920230485699167E-01  0.26124131652791756054353314857869497E-02
0.34207731227643629676651221435489650E-01  0.29236640018664891690971123396312614E-02
0.37313531912118761182871568755293037E-01  0.33001922157007981838256784111850365E-02
0.40835852443372784142075173222976463E-01  0.37600877089548213656679137633490748E-02
0.44869022657503025272204610124729648E-01  0.43260978858583558833177186340828297E-02
0.49532595509489414539568182967001781E-01  0.50258912496750267973372281958962315E-02
0.54975943079995254054742827995478298E-01  0.58911498416322745530561455307251558E-02
0.61381080635185211016333508967979482E-01  0.69548607541806849974429346991848393E-02
0.68961825418817685052453507622575047E-01  0.82467586090626176755873906915383739E-02
0.77957794539001211906227109371885762E-01  0.97877779370422445953331894814129534E-02
0.88622990061806619027597050046221655E-01  0.11585052862179280792307929865538346E-01
0.10121029682063080407194889286740520E+00  0.13628939475924502306016402306714919E-01
0.11595434698502657292298403936987100E+00  0.15892759441723571871153611999145073E-01
0.13305541559793529244463231383475135E+00  0.18335009621980855052151211564542558E-01
0.15266640907413586780104572399170193E+00  0.20903168649289299792514692452899294E-01
0.17488403324394564565487372631397575E+00  0.23538089369659265212219872282695055E-01
0.19974428902252025443701686146413720E+00  0.26178148236210710189276400356314560E-01
0.22722176871173563194889670767991760E+00  0.28762639892936138264198487716020048E-01
0.25723187725817870134161835289636487E+00  0.31234223424487275728631030622694938E-01
0.28963503795882834548543497089416853E+00  0.33540467220327275170647317205516507E-01
0.32424206447797504705765954752668128E+00  0.35634672271731714878292093351315134E-01
0.36082008622225408205696153791165123E+00  0.37476191103869922919676897596267711E-01
0.39909862306473000259022604858564450E+00  0.39030436073983000454417404599405938E-01
0.43877557556776610045547937938975671E+00  0.40268721794703434443771117354230264E-01
0.47952301587451871237974755186954983E+00  0.41168036010134139988620895181440750E-01
0.52099273747762569241410034043542721E+00  0.41710792740185991539747756401610813E-01
0.56282156089696429922638264376384521E+00  0.41884593553550023141540926920301984E-01
0.60463640884356073308647596154105800E+00  0.41682005782187741582083484710808594E-01
0.64605916818966261178150221171547328E+00  0.41100357442162682951263344847766250E-01
0.68671135362493535122167623264057238E+00  0.40141544925888879467469836102889957E-01
0.72621858360842264893562659155325774E+00  0.38811849341594489074621829992748980E-01
0.76421487611438154584765134841630082E+00  0.37121759822088977244880854889409918E-01
0.80034677236893936027195093585537130E+00  0.35085807452861678586692797865332682E-01
0.83427730494478982746463388233804417E+00  0.32722423605595844591704419921114403E-01
0.86568984925250841328497165489748775E+00  0.30053856635905624140952663324391227E-01
0.89429195012409967560268620283691575E+00  0.27106223855590197668240664136507691E-01
0.91981933372618127393753943033016246E+00  0.23909872068216678185810265428535720E-01
0.94204058393553717752144861980915720E+00  0.20500441577097373859774290228812836E-01
0.96076357325945715481373548304074629E+00  0.16921522537389182572265291616632672E-01
0.97584604882684105150807756964565070E+00  0.13230693902443785062882368835624616E-01
0.98721488496494056213780428963763231E+00  0.95109564435348038589298425238922534E-02
0.99489759179981812924158038981672215E+00  0.58805998710469983700968672563000885E-02
0.99904644461457492573694466959697093E+00  0.24573499552008076047440948165762113E-02
