# GGQ rule 02: bm in [2^-10, 2^-5]
# 76 nodes on [0, 1]
# Columns: x_i  w_i
0.10134934594183783535309245323277445E-03  0.25983876131899791933127542898538339E-03
0.53174376669466843765666965919097842E-03  0.59971030113829035203718330690785765E-03
0.12966991862207116031614784062624409E-02  0.92748064898354679055266299123353907E-03
0.23799483620450762465688071060442070E-02  0.12349857944259048071265052138252173E-02
0.37573430778460869104289929314542167E-02  0.15145361176647498103706044776702192E-02
0.53974130441334174103846340746567780E-02  0.17593264073222195572343235483667557E-02
0.72627354571503882522567058102268504E-02  0.19644330799952806483252872288161101E-02
0.93123347145691282567702124103146062E-02  0.21278294574811754297490326084360383E-02
0.11504978383088265746470450759341047E-01  0.22511044500775073242522773978377015E-02
0.13802896956136015920463905622575283E-01  0.23395409975660782513031911151393777E-02
0.16175179240705242894564451833512918E-01  0.24013888216302699090518928203805058E-02
0.18600101337492923843535425764355135E-01  0.24465193824176061714539673491880691E-02
0.21065987541987302431074473936889144E-01  0.24849197988000163093455548775647160E-02
0.23570682525205619460617765014842569E-01  0.25254840781485799324692664707218957E-02
0.26120076039972917806473230160643550E-01  0.25753444450338610314959095118882587E-02
0.28726230971899812122099964365493612E-01  0.26397259621419973552300125639760481E-02
0.31405554781168999202004776989397473E-01  0.27221417462478300453752429558661290E-02
0.34177245623642278192903016641187098E-01  0.28247150808593507033804306503645372E-02
0.37062058908527156954278441732683569E-01  0.29484821369416534975897644601523713E-02
0.40081343844123896692046902313701012E-01  0.30936293956129785918857756010412518E-02
0.43256295999858064930677714821524841E-01  0.32596972463968225637965066749970814E-02
0.46607419166465800230259416035243061E-01  0.34458019548681056030770739572333127E-02
0.50154226760933455958183412042240149E-01  0.36508899943372082240974494549663502E-02
0.53915197510239619764860504709565924E-01  0.38739816948981030255197066434875813E-02
0.57907942898893432641125495430497416E-01  0.41143425843628510164828405391430842E-02
0.62149497255659883116367861476069779E-01  0.43715581987615608612022677105729424E-02
0.66656645513557347654924955453693352E-01  0.46455433259344329377316527532530141E-02
0.71446251733195598713471254597196247E-01  0.49365441845888092343776344969162444E-02
0.76535607765864273358179575191944917E-01  0.52451824988052259532764277135509053E-02
0.81942856072341189405974739123332911E-01  0.55725597011274341079796986878631208E-02
0.87687540411771627271412985616249235E-01  0.59204023202431400817680590842403865E-02
0.93791302822377420279044369281112293E-01  0.62911996254073880046379634135462138E-02
0.10027869164387302755679923509887664E+00  0.66882810075081276667672583418952141E-02
0.10717800647118346901699323725647885E+00  0.71158134523933822438110399981470504E-02
0.11452211191398505968927370861609231E+00  0.75787506781464693313705778667101558E-02
0.12234920143748604147475959389900973E+00  0.80827937544215828125470162765408985E-02
0.13070354419239977201064246866967284E+00  0.86343972333184239460208560064847639E-02
0.13963625102231250732749616460046670E+00  0.92407912245346920444824947023026297E-02
0.14920603997721516997926977989554775E+00  0.99099452215420706682142451572711919E-02
0.15947990904070341928637589779961114E+00  0.10650412223995445602918220238118049E-01
0.17053358590605077415025877979557998E+00  0.11471040554095392785949236587796458E-01
0.18245163169123991309184793770122559E+00  0.12380573771574039785945848299565078E-01
0.19532709392522417350875002393741452E+00  0.13387147608702592462729643199544728E-01
0.20926059192724551661803342779776771E+00  0.14497647242188968481030209546070956E-01
0.22435865618158528015011014587527928E+00  0.15716841884336946983283504470682166E-01
0.24073105348078700239783649254691791E+00  0.17046211574875898475034366498045149E-01
0.25848677967191695644214199178302754E+00  0.18482469264150485648020657835295353E-01
0.27772849252060121962683587611289953E+00  0.20015970106044088950773662673935790E-01
0.29854546015599847398174821604165665E+00  0.21629415080740348937728362361401317E-01
0.32100557037849837106958920972750095E+00  0.23297347747676970898055460790611751E-01
0.34514739108795442710070553962188775E+00  0.24986791928021143712052369519862389E-01
0.37097345174309718699002223183283716E+00  0.26659020129987905226203971327922953E-01
0.39844571057088262531777083121340442E+00  0.28272069399017545766007192460129217E-01
0.42748367487775756112301052216518302E+00  0.29783435046247871603904122480554012E-01
0.45796508502347215149901799868474949E+00  0.31152435620644403219637168562895011E-01
0.48972866918850168776298420268642620E+00  0.32341962900296124617224616456053767E-01
0.52257831129673980318793201032125818E+00  0.33319565837464528582369915706643772E-01
0.55628800989895988999621273619227964E+00  0.34057973725947519868337735910655158E-01
0.59060714816030371356524661038106447E+00  0.34535223487549627453733048564551961E-01
0.62526575976847380697704867173549642E+00  0.34734547471274278105158101584319809E-01
0.65997961367456756878284905037166941E+00  0.34644139161527977003504108987484675E-01
0.69445503615300235584341348597751061E+00  0.34256871326442647995794419551767575E-01
0.72839344513000161598856377501756763E+00  0.33570006875347951294333304491280012E-01
0.76149559964641008489645949380495283E+00  0.32584919813676121967825804673387484E-01
0.79346557740031099198108591141045144E+00  0.31306830428894357353223598494336496E-01
0.82401449372324091840843817252194401E+00  0.29744552264183692466425709579962131E-01
0.85286397139378925475702528457196867E+00  0.27910245921376869591862759760230978E-01
0.87974936545239031251008581271611210E+00  0.25819174424320850258487603829334467E-01
0.90442274222870074390179155256509729E+00  0.23489455616496996410084246031935612E-01
0.92665560782991241155692215005449688E+00  0.20941808232081512714761408888402024E-01
0.94624137863338191270941526302783559E+00  0.18199289618527975628773537403884097E-01
0.96299758510237558908151056880272999E+00  0.15287024806741605037018428430234257E-01
0.97676780150142566074920871648986750E+00  0.12231930472356712048837512207606042E-01
0.98742330406098200276731174261564468E+00  0.90624553728507237724596193077577798E-02
0.99486453127870510464387599993388737E+00  0.58085159060925437718608746978561195E-02
0.99902342253268553737592464273931865E+00  0.25050643888456107539831581988455265E-02
