# GGQ rule 08: bm in [2^-40, 2^-35]
# 78 nodes on [0, 1]
# Columns: x_i  w_i
0.72587286098534380303585901583537801E-08  0.18544429152805423703029473635946319E-07
0.37523589791337685083243470501841952E-07  0.41550557752587698002608562529724971E-07
0.89173467884603320810016706438640334E-07  0.61030235718857267353121242196565589E-07
0.15798450734601395298155573129717712E-06  0.75742893956289446833723169890675320E-07
0.23896030006288890464581335004483285E-06  0.85389946848975025231485816289497912E-07
0.32726958665377949316167599885380288E-06  0.90573386709977765050958625774764404E-07
0.41901984014810773703759338220784704E-06  0.92500116270661950254300060226175712E-07
0.51164364888843081847650908525191781E-06  0.92541346819616163898650409846216823E-07
0.60387470619577840476330327888074652E-06  0.91888134017891172014823760454996322E-07
0.69548564770266057580214960538841290E-06  0.91422704518006647244890612827552547E-07
0.78698587339518521978461588332148221E-06  0.91747441465830266291815651034935729E-07
0.87937326603118892793024284533977860E-06  0.93243535216406232652070230508046411E-07
0.97392378275397658846820617556067450E-06  0.96085196355980888084286638872384559E-07
0.10719855274646123202798191360707277E-05  0.10024798272366606632825456157051035E-06
0.11748093240966025476834732901155398E-05  0.10557914570841186602987810171162919E-06
0.12834768271776701979872987057637045E-05  0.11191235302126314993288480730354471E-06
0.13989394858109494657586893850144029E-05  0.11916693537235659746110544413508658E-06
0.15221371134574872331892626045321573E-05  0.12740586436599765328888459775701637E-06
0.16541468183150754286585583006351729E-05  0.13683369539452748757888959310702000E-06
0.17962884792485600244064947266798328E-05  0.14771074163616268246144270537918552E-06
0.19501160764461141377572099190641482E-05  0.16022638680896355643412728017326320E-06
0.21173097965318649316015809293099785E-05  0.17444554810122826711004648304700088E-06
0.22995765720476080238780630558814138E-05  0.19037488656448007336103474537229878E-06
0.24986481938602006240564589039579611E-05  0.20807466590890090377104959312707139E-06
0.27163778130394500455082031782766730E-05  0.22773548998878172168898563091819832E-06
0.29548867802110089216923211567923717E-05  0.24970432670489317711904718983324176E-06
0.32167220852246713628649413066216715E-05  0.27448553062602910832343895976956148E-06
0.35050180264183913423193085116607709E-05  0.30275476765059629320430012279796675E-06
0.38236930794297477823696946492586950E-05  0.33542004339599795193355250270136503E-06
0.41777393947629186851797458857650864E-05  0.37374727711786128575633371980493369E-06
0.45736721125814273094329053947045638E-05  0.41955519333504026941229638000684309E-06
0.50202136884799661051615314547383472E-05  0.47549574921021709726621375579684570E-06
0.55293240193874688503753650081258590E-05  0.54548160183489153874448363981784950E-06
0.61177916113313526655988382473578618E-05  0.63541926490658429665250343028699288E-06
0.68098432561524002891017246230453628E-05  0.75459207322474858021189419660849794E-06
0.76417205239452021996423914557860506E-05  0.91835821302007568217986278433832784E-06
0.86700886375791154677647406337118245E-05  0.11533916306902222176069624518557371E-05
0.99878901877998236163110123228245205E-05  0.15079114287980417468706807726734869E-05
0.11755058822793881587383824518427971E-04  0.20726175468916116260301672997665333E-05
0.14261134840561320743917517725049112E-04  0.30275544562853410187070163331357025E-05
0.18063914809278645652745965713757938E-04  0.47594457882659431844825936394446634E-05
0.24332916596634069772599610694852435E-04  0.81959096077079677558746620885019091E-05
0.35831749954862694110099264667102877E-04  0.15921300163550634537085958413059346E-04
0.60307903087144179191269127787847408E-04  0.36759572548288409350604101040513877E-04
0.12552494451401911390424307143483876E-03  0.11040073901401895417124641145307585E-03
0.36881115727891924488079048096907455E-03  0.47715720104435989390879547737245259E-03
0.15539411631661454976573727759303187E-02  0.22863293645189982094166356425083025E-02
0.56904215353909955964617103940523401E-02  0.62146234996754384880642172511177259E-02
0.14180699414378893806337215579071030E-01  0.10792657041602524710882729223826331E-01
0.27277501865037405974043478532288802E-01  0.15387536744467726931090440127229648E-01
0.44914297523106375007147479101934430E-01  0.19859722120648430640154928297519123E-01
0.66935523983869883721785150386239707E-01  0.24148030654646431711222889080802652E-01
0.93133686609775654596982820830933428E-01  0.28206481044726068080660946690405145E-01
0.12325828902576671718095590096032092E+00  0.31994453916351658306690489894865984E-01
0.15702003982781187448945225641789053E+00  0.35474871643998540494317948617869536E-01
0.19409421505357838175188503871494502E+00  0.38613951402691447646416729306036558E-01
0.23412400274892134854650982415729505E+00  0.41381332855056971399583908619659898E-01
0.27672403175734185012265008950888978E+00  0.43750296271911898242610915665902301E-01
0.32148412635416655523121644238756786E+00  0.45697988760269337488212140673646426E-01
0.36797327834130831839802302340434464E+00  0.47205630142943835122508838834064245E-01
0.41574380966209828348807439232553678E+00  0.48258686851631311852821029489286542E-01
0.46433569045930143697420015411268948E+00  0.48847008263203245117371809020039361E-01
0.51328097337118643296138358188802953E+00  0.48964922467910193391147750544310237E-01
0.56210830256002584788598594568912695E+00  0.48611289757005671428398816619615629E-01
0.61034745468430691132880487455153624E+00  0.47789512926244426836035234203598479E-01
0.65753386843550502494684437494189791E+00  0.46507504096247288628755190901048512E-01
0.70321311922267159245666884590701114E+00  0.44777608263238702368110383656394026E-01
0.74694529603767822375687919169126266E+00  0.42616484260309387158185903257296837E-01
0.78830923843608917064594308045029613E+00  0.40044944249960872866524073978423342E-01
0.82690659290283854035959865406320841E+00  0.37087753293800948318171845706278251E-01
0.86236564962826076372092703680601814E+00  0.33773390967475230222468501569161450E-01
0.89434492290949381840250393506682623E+00  0.30133777442491138295704835430464133E-01
0.92253644109428376134722332114263085E+00  0.26203967064394636605658882693199114E-01
0.94666871554769282990513049438687396E+00  0.22021813732014904375593610953290422E-01
0.96650936415882781786251909531404497E+00  0.17627616925398898442208805578356680E-01
0.98186738260749417826657973109862863E+00  0.13063782445660855059213768609481629E-01
0.99259516180776371382555192314539817E+00  0.83747577975963736464393089038192193E-02
0.99859179761769917675886783484822105E+00  0.36122011010163253346683368766470767E-02
